x,y,label
1.63675,-0.30366,1
0.04069,0.33618,1
0.14235,-0.02243,1
0.79133,0.69861,0
0.75245,-0.49995,1
-0.22350,0.95822,0
0.68351,-0.55503,1
1.06837,-0.54414,1
-0.46237,1.03247,0
1.88892,0.49460,1
0.86280,-0.37226,1
1.39959,-0.40221,1
0.50266,-0.34262,1
0.95241,0.37460,0
1.96244,0.17924,1
0.56347,-0.30755,1
-0.64052,0.75786,0
0.05155,0.07502,1
-0.86501,0.43360,0
0.67249,0.81717,0
0.13765,0.89979,0
-0.83533,0.23605,0
2.05932,-0.12338,1
-0.52238,0.84912,0
-0.63988,0.74900,0
1.76306,-0.13132,1
0.81721,-0.47662,1
0.13472,-0.03240,1
-0.05922,0.23367,1
1.01947,0.07000,0
-1.03498,0.13919,0
1.77375,0.00471,1
0.28739,0.94432,0
-0.61831,0.71714,0
0.29092,1.01095,0
0.56906,0.92162,0
0.23282,1.02002,0
0.49316,-0.35098,1
0.84991,0.62678,0
-0.07218,1.01062,0
-0.14303,1.10151,0
1.97230,0.24203,1
1.10640,-0.47404,1
0.24616,-0.17314,1
-0.85522,0.36110,0
-1.01630,0.23591,0
0.68187,0.85538,0
0.01746,0.29095,1
0.79022,-0.37242,1
0.94892,-0.49234,1
-1.02327,0.31711,0
0.90925,0.31773,0
1.57798,-0.33214,1
-1.01253,0.12668,0
1.95699,0.30313,1
1.13549,-0.53439,1
0.37012,-0.33176,1
1.13774,-0.49067,1
-0.12106,1.03038,0
0.47717,-0.46852,1
1.19124,-0.45524,1
1.59598,-0.34173,1
1.85873,0.08801,1
0.65730,-0.45971,1
1.94520,0.00575,1
-0.44387,0.79033,0
1.61901,-0.33948,1
0.58426,0.74833,0
1.75067,-0.12213,1
0.00530,0.99371,0
0.58361,0.87466,0
1.63723,-0.17579,1
0.60929,0.76253,0
-0.50103,0.90458,0
1.80188,-0.02747,1
1.82049,-0.08022,1
0.30511,1.08682,0
1.00161,0.21868,0
0.01017,0.44213,1
0.06936,0.02364,1
1.44721,-0.46182,1
0.07741,0.30460,1
-0.55510,0.75522,0
1.39501,-0.48886,1
-0.08758,0.97087,0
0.60302,-0.44334,1
0.71889,0.78377,0
2.02471,0.29710,1
-0.98354,0.11449,0
0.24714,-0.15759,1
-0.72908,0.70453,0
0.99185,-0.05827,0
1.68737,-0.28213,1
-0.90331,0.33341,0
0.97551,0.45046,0
0.82318,0.70575,0
0.99320,0.05791,0
-0.09674,1.10081,0
-0.03438,0.39669,1
0.24939,1.00137,0
