label,caption,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205,p206,p207,p208,p209,p210,p211,p212,p213,p214,p215,p216,p217,p218,p219,p220,p221,p222,p223,p224,p225,p226,p227,p228,p229,p230,p231,p232,p233,p234,p235,p236,p237,p238,p239,p240,p241,p242,p243,p244,p245,p246,p247,p248,p249,p250,p251,p252,p253,p254,p255
motorcycle,"A Honda motorcycle parked in a grass driveway",0.36,0.62,0.9,0.57,0.64,0.55,0.59,0.49,0.5,0.51,0.49,0.44,0.4,0.25,0.28,0.72,0.46,0.54,0.96,0.76,0.69,0.75,0.62,0.46,0.39,0.24,0.24,0.29,0.33,0.21,0.24,0.31,0.57,0.51,0.89,0.7,0.67,0.76,0.42,0.33,0.3,0.21,0.27,0.25,0.26,0.22,0.25,0.24,0.53,0.38,0.7,0.54,0.53,0.49,0.41,0.41,0.41,0.4,0.42,0.4,0.39,0.42,0.43,0.45,0.39,0.36,0.4,0.52,0.52,0.61,0.6,0.56,0.53,0.53,0.52,0.51,0.51,0.52,0.52,0.51,0.5,0.49,0.28,0.27,0.27,0.47,0.81,0.61,0.63,0.68,0.67,0.71,0.7,0.63,0.56,0.55,0.54,0.58,0.64,0.42,0.24,0.13,0.22,0.34,0.53,0.67,0.65,0.66,0.63,0.6,0.62,0.6,0.49,0.42,0.46,0.38,0.35,0.24,0.2,0.2,0.18,0.17,0.22,0.18,0.16,0.47,0.76,0.58,0.28,0.29,0.26,0.27,0.33,0.33,0.34,0.18,0.13,0.13,0.16,0.24,0.25,0.38,0.46,0.51,0.37,0.34,0.36,0.25,0.32,0.39,0.38,0.32,0.11,0.06,0.1,0.36,0.44,0.43,0.13,0.43,0.43,0.33,0.35,0.31,0.31,0.45,0.35,0.25,0.23,0.24,0.23,0.26,0.16,0.43,0.42,0.27,0.38,0.36,0.36,0.4,0.38,0.39,0.35,0.25,0.29,0.38,0.43,0.45,0.47,0.51,0.36,0.31,0.4,0.35,0.38,0.42,0.42,0.39,0.33,0.31,0.29,0.28,0.28,0.19,0.2,0.24,0.39,0.53,0.39,0.39,0.43,0.42,0.41,0.36,0.36,0.39,0.4,0.41,0.38,0.35,0.34,0.36,0.46,0.52,0.38,0.39,0.4,0.41,0.39,0.38,0.39,0.4,0.4,0.39,0.41,0.38,0.4,0.42,0.4,0.44,0.39,0.4,0.38,0.38,0.39,0.41,0.42,0.42,0.39,0.38,0.4,0.38,0.4,0.4,0.43,0.44
motorcycle,"Group of three motorcyclists standing in front of their motorcycles.",0.73,0.78,0.84,0.87,0.88,0.9,0.93,0.42,0.39,0.48,0.4,0.27,0.44,0.8,0.58,0.18,0.47,0.42,0.58,0.94,0.92,0.94,0.89,0.36,0.14,0.25,0.24,0.27,0.22,0.29,0.29,0.12,0.23,0.27,0.38,0.75,0.83,0.9,0.78,0.38,0.17,0.16,0.18,0.26,0.25,0.28,0.16,0.16,0.16,0.25,0.28,0.23,0.13,0.6,0.83,0.64,0.33,0.27,0.24,0.24,0.27,0.46,0.31,0.29,0.16,0.36,0.31,0.23,0.16,0.37,0.57,0.45,0.27,0.47,0.38,0.16,0.19,0.25,0.28,0.37,0.09,0.32,0.4,0.39,0.41,0.39,0.47,0.29,0.07,0.34,0.38,0.11,0.25,0.34,0.35,0.36,0.06,0.29,0.6,0.6,0.6,0.61,0.48,0.29,0.25,0.49,0.38,0.27,0.33,0.34,0.19,0.42,0.03,0.33,0.69,0.65,0.69,0.7,0.26,0.28,0.48,0.44,0.09,0.33,0.15,0.0,0.03,0.2,0.09,0.4,0.77,0.71,0.76,0.75,0.3,0.1,0.38,0.48,0.07,0.12,0.13,0.07,0.27,0.13,0.05,0.34,0.77,0.73,0.76,0.67,0.28,0.09,0.2,0.36,0.18,0.14,0.08,0.07,0.12,0.16,0.0,0.38,0.74,0.69,0.73,0.65,0.39,0.16,0.08,0.27,0.24,0.13,0.18,0.09,0.37,0.42,0.01,0.48,0.73,0.66,0.71,0.41,0.16,0.2,0.07,0.12,0.29,0.27,0.13,0.13,0.39,0.32,0.07,0.61,0.71,0.71,0.49,0.24,0.17,0.11,0.1,0.08,0.18,0.58,0.27,0.24,0.17,0.17,0.1,0.57,0.65,0.58,0.43,0.31,0.2,0.13,0.08,0.06,0.16,0.55,0.53,0.56,0.53,0.18,0.18,0.46,0.6,0.49,0.61,0.48,0.24,0.16,0.15,0.07,0.44,0.69,0.67,0.69,0.38,0.21,0.6,0.64,0.59,0.6,0.61,0.65,0.44,0.19,0.24,0.23,0.56,0.65,0.63,0.61,0.25,0.19
motorcycle,"A customized motorcycle with a large rear and skinny front tire",0.07,0.1,0.16,0.3,0.23,0.14,0.16,0.29,0.28,0.15,0.07,0.14,0.11,0.11,0.06,0.05,0.34,0.21,0.31,0.44,0.19,0.27,0.49,0.33,0.4,0.44,0.2,0.2,0.19,0.19,0.09,0.2,0.26,0.26,0.27,0.24,0.1,0.13,0.32,0.21,0.18,0.14,0.21,0.35,0.33,0.24,0.07,0.09,0.09,0.36,0.23,0.13,0.09,0.07,0.05,0.08,0.16,0.14,0.16,0.31,0.17,0.09,0.13,0.07,0.24,0.32,0.28,0.19,0.16,0.05,0.11,0.08,0.09,0.15,0.11,0.15,0.07,0.14,0.25,0.16,0.3,0.3,0.23,0.2,0.22,0.13,0.11,0.15,0.11,0.08,0.23,0.09,0.17,0.25,0.4,0.41,0.31,0.25,0.19,0.15,0.4,0.36,0.4,0.35,0.1,0.15,0.27,0.33,0.4,0.31,0.34,0.36,0.18,0.22,0.17,0.28,0.51,0.45,0.38,0.41,0.33,0.19,0.16,0.29,0.34,0.13,0.07,0.11,0.11,0.31,0.15,0.18,0.36,0.52,0.54,0.3,0.64,0.31,0.12,0.13,0.15,0.08,0.07,0.09,0.18,0.23,0.13,0.33,0.53,0.53,0.53,0.27,0.54,0.21,0.06,0.2,0.14,0.08,0.24,0.16,0.24,0.18,0.03,0.28,0.52,0.4,0.52,0.59,0.49,0.2,0.14,0.07,0.05,0.15,0.25,0.18,0.17,0.31,0.07,0.29,0.62,0.49,0.32,0.51,0.48,0.4,0.13,0.14,0.16,0.23,0.12,0.13,0.13,0.33,0.09,0.37,0.57,0.61,0.53,0.44,0.43,0.33,0.12,0.13,0.13,0.18,0.06,0.08,0.23,0.09,0.09,0.36,0.41,0.46,0.3,0.23,0.31,0.33,0.18,0.06,0.04,0.09,0.07,0.06,0.3,0.29,0.34,0.37,0.39,0.42,0.44,0.4,0.36,0.35,0.18,0.17,0.09,0.04,0.05,0.06,0.18,0.22,0.25,0.26,0.25,0.28,0.31,0.31,0.31,0.26,0.22,0.16,0.14,0.06,0.03,0.02
motorcycle,"A motorcycle is parked on a dirt road in a forest.",0.15,0.15,0.14,0.19,0.22,0.22,0.24,0.39,0.5,0.54,0.54,0.41,0.43,0.45,0.43,0.38,0.2,0.13,0.13,0.16,0.23,0.24,0.26,0.35,0.4,0.47,0.49,0.45,0.41,0.31,0.36,0.32,0.17,0.12,0.13,0.14,0.2,0.21,0.29,0.31,0.38,0.43,0.37,0.38,0.38,0.39,0.32,0.29,0.31,0.19,0.11,0.11,0.16,0.21,0.23,0.28,0.38,0.34,0.2,0.18,0.26,0.37,0.22,0.21,0.32,0.19,0.13,0.15,0.15,0.22,0.22,0.25,0.37,0.32,0.17,0.12,0.19,0.12,0.1,0.13,0.24,0.08,0.14,0.13,0.13,0.18,0.22,0.31,0.32,0.25,0.12,0.09,0.11,0.09,0.09,0.09,0.24,0.11,0.12,0.07,0.13,0.21,0.23,0.36,0.35,0.18,0.08,0.04,0.08,0.09,0.07,0.05,0.19,0.13,0.09,0.07,0.13,0.24,0.22,0.27,0.25,0.2,0.03,0.02,0.04,0.06,0.06,0.02,0.4,0.13,0.11,0.13,0.16,0.23,0.29,0.43,0.38,0.27,0.15,0.16,0.13,0.1,0.11,0.13,0.4,0.17,0.13,0.16,0.3,0.33,0.42,0.47,0.57,0.66,0.71,0.25,0.15,0.2,0.2,0.27,0.21,0.18,0.2,0.27,0.31,0.35,0.34,0.43,0.51,0.55,0.59,0.26,0.17,0.42,0.36,0.34,0.15,0.18,0.24,0.27,0.28,0.25,0.2,0.35,0.42,0.36,0.33,0.27,0.28,0.4,0.45,0.47,0.24,0.29,0.28,0.27,0.27,0.37,0.32,0.28,0.29,0.28,0.32,0.35,0.35,0.33,0.39,0.42,0.32,0.35,0.32,0.32,0.24,0.22,0.26,0.28,0.27,0.29,0.33,0.3,0.31,0.32,0.39,0.45,0.17,0.19,0.18,0.18,0.19,0.22,0.27,0.31,0.32,0.33,0.33,0.42,0.45,0.4,0.4,0.4,0.23,0.17,0.15,0.2,0.24,0.27,0.28,0.29,0.29,0.28,0.31,0.38,0.46,0.5,0.42,0.39
motorcycle,"A lone motorcycle parked in parking space at night.",0.25,0.25,0.26,0.26,0.27,0.27,0.29,0.54,0.33,0.31,0.32,0.33,0.33,0.34,0.34,0.34,0.29,0.3,0.3,0.29,0.29,0.28,0.31,0.33,0.35,0.37,0.4,0.42,0.44,0.44,0.44,0.44,0.31,0.27,0.3,0.26,0.29,0.4,0.33,0.22,0.24,0.36,0.28,0.36,0.38,0.35,0.4,0.47,0.22,0.13,0.11,0.15,0.13,0.23,0.16,0.09,0.1,0.2,0.06,0.11,0.13,0.08,0.13,0.2,0.1,0.09,0.14,0.18,0.24,0.2,0.22,0.28,0.28,0.27,0.2,0.15,0.13,0.1,0.07,0.05,0.15,0.21,0.28,0.34,0.31,0.34,0.35,0.33,0.32,0.28,0.25,0.24,0.22,0.21,0.2,0.19,0.21,0.25,0.22,0.22,0.24,0.23,0.26,0.33,0.32,0.33,0.34,0.22,0.3,0.28,0.26,0.25,0.21,0.2,0.19,0.2,0.24,0.19,0.16,0.27,0.44,0.38,0.29,0.18,0.31,0.35,0.3,0.29,0.19,0.2,0.22,0.25,0.29,0.3,0.2,0.12,0.15,0.31,0.17,0.22,0.28,0.28,0.25,0.29,0.2,0.22,0.21,0.22,0.26,0.22,0.33,0.25,0.16,0.11,0.27,0.2,0.25,0.23,0.26,0.2,0.31,0.2,0.21,0.22,0.26,0.21,0.24,0.2,0.15,0.18,0.41,0.34,0.35,0.3,0.39,0.27,0.47,0.18,0.22,0.2,0.22,0.25,0.24,0.13,0.05,0.04,0.15,0.35,0.44,0.32,0.33,0.38,0.5,0.24,0.19,0.22,0.24,0.24,0.27,0.32,0.31,0.24,0.15,0.24,0.3,0.28,0.22,0.2,0.39,0.41,0.16,0.22,0.23,0.22,0.19,0.22,0.29,0.33,0.17,0.18,0.26,0.22,0.22,0.2,0.22,0.54,0.21,0.2,0.21,0.21,0.22,0.24,0.24,0.26,0.27,0.23,0.2,0.2,0.14,0.25,0.13,0.48,0.41,0.16,0.22,0.23,0.23,0.23,0.24,0.23,0.22,0.22,0.21,0.17,0.15,0.38
motorcycle,"A man riding a motorcycle with a woman on the back.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.92,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.98,1.0,0.97,0.86,0.66,0.43,0.41,0.89,0.89,0.89,0.88,0.88,0.88,0.87,0.87,0.86,0.85,0.78,0.49,0.2,0.08,0.15,0.11,0.89,0.89,0.88,0.92,0.91,0.87,0.87,0.87,0.9,0.73,0.32,0.06,0.09,0.08,0.07,0.07,0.83,0.83,0.84,0.51,0.56,0.85,0.84,0.75,0.69,0.52,0.18,0.06,0.07,0.1,0.1,0.07,0.81,0.84,0.86,0.56,0.62,0.81,0.76,0.62,0.1,0.12,0.15,0.13,0.07,0.14,0.27,0.29,0.93,0.95,0.89,0.71,0.85,0.31,0.55,0.51,0.12,0.06,0.15,0.13,0.06,0.12,0.21,0.28,0.75,0.96,0.71,0.39,0.61,0.3,0.27,0.09,0.13,0.09,0.17,0.18,0.44,0.61,0.59,0.38,0.65,0.78,0.75,0.74,0.53,0.21,0.22,0.3,0.17,0.13,0.25,0.32,0.55,0.76,0.5,0.35,0.65,0.67,0.69,0.6,0.4,0.2,0.22,0.23,0.15,0.11,0.31,0.62,0.63,0.64,0.71,0.71,0.7,0.71,0.7,0.4,0.24,0.17,0.05,0.02,0.05,0.09,0.05,0.47,0.75,0.81,0.79,0.73,0.72,0.73,0.73,0.31,0.37,0.2,0.11,0.03,0.01,0.09,0.0,0.61,0.79,0.75,0.75,0.74,0.59,0.65,0.71,0.59,0.35,0.27,0.53,0.34,0.2,0.09,0.07,0.65,0.73,0.73,0.75,0.65,0.7,0.73,0.71,0.73,0.53,0.5,0.6,0.51,0.45,0.32,0.38,0.54,0.55,0.58,0.56,0.55,0.69,0.74,0.75,0.75,0.77,0.71,0.65,0.63,0.6,0.62,0.61,0.56,0.57,0.56,0.53,0.55,0.73,0.71,0.68,0.67,0.66,0.65,0.65,0.64,0.66,0.65,0.64,0.63,0.62,0.6,0.56,0.48
motorcycle,"A parked motorcycle next to a green tent.",0.42,0.35,0.12,0.22,0.43,0.73,0.78,0.77,0.77,0.67,0.51,0.38,0.72,0.67,0.64,0.74,0.21,0.23,0.11,0.19,0.45,0.8,0.94,0.86,0.74,0.64,0.36,0.35,0.69,0.65,0.71,0.73,0.08,0.07,0.14,0.18,0.45,0.76,0.95,0.68,0.43,0.58,0.28,0.23,0.79,0.84,0.81,0.78,0.16,0.09,0.13,0.15,0.23,0.39,0.61,0.37,0.25,0.25,0.15,0.13,0.6,0.58,0.44,0.29,0.18,0.17,0.16,0.23,0.27,0.24,0.27,0.25,0.2,0.17,0.18,0.2,0.26,0.15,0.14,0.16,0.14,0.19,0.33,0.45,0.48,0.44,0.29,0.19,0.24,0.23,0.18,0.18,0.18,0.16,0.14,0.13,0.21,0.29,0.31,0.36,0.36,0.4,0.48,0.33,0.35,0.34,0.26,0.24,0.35,0.3,0.26,0.23,0.24,0.27,0.3,0.31,0.14,0.27,0.36,0.34,0.27,0.25,0.34,0.46,0.24,0.29,0.24,0.26,0.2,0.2,0.25,0.25,0.24,0.25,0.17,0.15,0.18,0.3,0.26,0.25,0.3,0.27,0.19,0.2,0.22,0.24,0.26,0.27,0.29,0.32,0.22,0.09,0.11,0.15,0.07,0.09,0.21,0.24,0.28,0.25,0.23,0.24,0.27,0.28,0.27,0.28,0.3,0.11,0.1,0.08,0.03,0.05,0.11,0.15,0.22,0.24,0.2,0.24,0.26,0.23,0.24,0.26,0.25,0.22,0.16,0.07,0.08,0.13,0.18,0.18,0.16,0.22,0.23,0.25,0.21,0.21,0.21,0.21,0.2,0.18,0.12,0.06,0.11,0.2,0.2,0.2,0.19,0.19,0.16,0.17,0.18,0.2,0.22,0.22,0.17,0.17,0.1,0.11,0.13,0.15,0.18,0.17,0.19,0.18,0.11,0.15,0.2,0.22,0.23,0.22,0.17,0.16,0.11,0.15,0.22,0.15,0.14,0.15,0.18,0.16,0.11,0.13,0.16,0.15,0.2,0.2,0.19,0.16,0.13,0.1,0.14,0.16,0.17,0.18,0.2,0.14
motorcycle,"A police man on a motorcycle is idle in front of a bush.",0.35,0.36,0.35,0.2,0.27,0.37,0.35,0.4,0.36,0.35,0.38,0.37,0.26,0.28,0.21,0.2,0.36,0.41,0.38,0.2,0.26,0.4,0.38,0.38,0.35,0.24,0.36,0.33,0.25,0.2,0.16,0.25,0.3,0.28,0.4,0.31,0.27,0.39,0.37,0.38,0.38,0.32,0.4,0.41,0.35,0.47,0.4,0.41,0.2,0.36,0.93,0.47,0.21,0.32,0.29,0.37,0.38,0.4,0.44,0.42,0.4,0.53,0.4,0.29,0.25,0.33,0.2,0.19,0.33,0.33,0.34,0.38,0.36,0.39,0.39,0.42,0.49,0.29,0.29,0.29,0.3,0.27,0.27,0.29,0.33,0.35,0.36,0.48,0.43,0.34,0.36,0.38,0.46,0.38,0.33,0.35,0.26,0.22,0.44,0.25,0.27,0.24,0.27,0.44,0.58,0.35,0.33,0.39,0.39,0.38,0.23,0.28,0.27,0.1,0.27,0.26,0.34,0.32,0.25,0.16,0.11,0.29,0.38,0.44,0.39,0.35,0.16,0.2,0.27,0.05,0.17,0.29,0.26,0.34,0.29,0.13,0.09,0.22,0.53,0.42,0.36,0.26,0.09,0.13,0.23,0.11,0.12,0.23,0.45,0.73,0.69,0.27,0.25,0.45,0.51,0.43,0.32,0.15,0.06,0.22,0.12,0.11,0.07,0.18,0.41,0.49,0.49,0.47,0.48,0.52,0.38,0.34,0.35,0.18,0.06,0.24,0.23,0.17,0.05,0.16,0.26,0.43,0.4,0.25,0.4,0.4,0.45,0.25,0.38,0.38,0.09,0.15,0.16,0.08,0.05,0.26,0.29,0.38,0.37,0.28,0.29,0.12,0.5,0.6,0.39,0.31,0.11,0.08,0.22,0.25,0.18,0.33,0.5,0.47,0.38,0.35,0.33,0.35,0.47,0.65,0.42,0.29,0.24,0.31,0.33,0.58,0.29,0.3,0.64,0.5,0.33,0.71,0.78,0.48,0.56,0.48,0.42,0.77,0.88,0.85,0.6,0.65,0.5,0.48,0.73,0.75,0.75,0.77,0.76,0.64,0.5,0.53,0.73,0.87,0.85,0.87
motorcycle,"a group of people gathered around an old dirty vintage motorcycle",0.14,0.42,0.45,0.07,0.13,0.4,0.44,0.44,0.4,0.39,0.17,0.39,0.35,0.29,0.3,0.32,0.03,0.36,0.44,0.14,0.08,0.33,0.29,0.32,0.36,0.35,0.2,0.31,0.22,0.17,0.24,0.34,0.48,0.56,0.62,0.5,0.33,0.19,0.14,0.22,0.51,0.39,0.33,0.29,0.2,0.08,0.44,0.92,0.66,0.78,0.49,0.47,0.51,0.32,0.35,0.52,0.56,0.36,0.47,0.65,0.25,0.14,0.65,0.53,0.52,0.55,0.65,0.37,0.66,0.82,0.85,0.77,0.65,0.44,0.45,0.72,0.28,0.05,0.23,0.06,0.36,0.35,0.52,0.56,0.62,0.36,0.34,0.51,0.71,0.54,0.36,0.45,0.48,0.41,0.35,0.21,0.1,0.36,0.33,0.22,0.34,0.14,0.1,0.52,0.59,0.36,0.55,0.56,0.5,0.6,0.73,0.71,0.25,0.29,0.27,0.36,0.37,0.08,0.36,0.67,0.35,0.37,0.49,0.67,0.33,0.15,0.25,0.4,0.24,0.21,0.17,0.3,0.34,0.36,0.42,0.45,0.29,0.42,0.32,0.54,0.56,0.27,0.37,0.21,0.12,0.2,0.31,0.22,0.12,0.18,0.29,0.31,0.35,0.35,0.31,0.47,0.57,0.29,0.34,0.35,0.13,0.25,0.61,0.62,0.4,0.4,0.39,0.55,0.46,0.28,0.43,0.41,0.46,0.46,0.47,0.71,0.22,0.26,0.31,0.38,0.34,0.48,0.57,0.63,0.6,0.4,0.35,0.68,0.48,0.36,0.63,0.82,0.62,0.62,0.4,0.21,0.18,0.18,0.25,0.2,0.35,0.65,0.27,0.48,0.82,0.74,0.82,0.79,0.81,0.81,0.85,0.65,0.4,0.23,0.23,0.22,0.24,0.3,0.25,0.13,0.45,0.58,0.43,0.27,0.78,0.79,0.78,0.83,0.77,0.69,0.64,0.42,0.27,0.28,0.28,0.31,0.22,0.19,0.25,0.61,0.79,0.78,0.81,0.85,0.86,0.79,0.79,0.78,0.52,0.43,0.35,0.37,0.4,0.44,0.43,0.48
motorcycle,"A black cat meanders up the walkway in front of a motorcycle in front of a house.",0.38,0.49,0.5,0.51,0.53,0.4,0.57,0.82,0.67,0.57,0.47,0.33,0.25,0.43,0.53,0.44,0.33,0.46,0.51,0.51,0.53,0.51,0.64,0.7,0.54,0.63,0.37,0.28,0.54,0.66,0.45,0.46,0.29,0.42,0.48,0.49,0.53,0.38,0.71,0.79,0.39,0.58,0.52,0.34,0.49,0.55,0.44,0.38,0.36,0.43,0.41,0.41,0.37,0.56,0.36,0.31,0.4,0.28,0.26,0.45,0.49,0.35,0.39,0.55,0.38,0.36,0.37,0.4,0.37,0.63,0.05,0.18,0.5,0.36,0.52,0.38,0.46,0.25,0.32,0.53,0.33,0.32,0.34,0.3,0.48,0.49,0.09,0.39,0.32,0.14,0.44,0.41,0.15,0.27,0.33,0.2,0.2,0.25,0.32,0.31,0.47,0.28,0.22,0.59,0.3,0.23,0.38,0.4,0.06,0.24,0.31,0.12,0.18,0.2,0.28,0.39,0.42,0.15,0.18,0.55,0.39,0.49,0.4,0.24,0.14,0.18,0.24,0.12,0.2,0.21,0.27,0.42,0.31,0.13,0.46,0.47,0.11,0.49,0.24,0.13,0.09,0.16,0.24,0.16,0.24,0.22,0.32,0.34,0.2,0.2,0.65,0.38,0.15,0.44,0.59,0.42,0.19,0.39,0.31,0.4,0.21,0.24,0.31,0.31,0.11,0.4,0.61,0.31,0.47,0.42,0.69,0.56,0.19,0.25,0.35,0.45,0.35,0.38,0.25,0.27,0.2,0.49,0.44,0.15,0.29,0.37,0.3,0.29,0.32,0.36,0.41,0.58,0.52,0.31,0.17,0.15,0.19,0.21,0.36,0.33,0.2,0.23,0.3,0.15,0.09,0.22,0.49,0.52,0.51,0.2,0.12,0.16,0.2,0.22,0.33,0.42,0.42,0.42,0.43,0.27,0.13,0.33,0.46,0.5,0.5,0.32,0.07,0.11,0.25,0.33,0.27,0.47,0.44,0.43,0.43,0.42,0.5,0.57,0.57,0.58,0.42,0.33,0.05,0.09,0.18,0.42,0.32,0.52,0.49,0.53,0.55,0.6,0.62,0.62,0.61,0.6
