label,caption,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63
bee,"bee with hive",0.06,0.07,0.11,0.18,0.12,0.17,0.06,0.08,0.06,0.04,0.06,0.31,0.14,0.28,0.23,0.08,0.28,0.59,0.28,0.11,0.24,0.73,0.22,0.28,0.14,0.67,0.29,0.07,0.59,0.82,0.57,0.05,0.43,0.53,0.77,0.22,0.73,0.45,0.74,0.06,0.16,0.49,0.34,0.07,0.64,0.34,0.70,0.08,0.14,0.18,0.33,0.16,0.47,0.74,0.44,0.06,0.07,0.08,0.07,0.23,0.06,0.08,0.06,0.06
bee,"bee hive",0.17,0.17,0.17,0.23,0.23,0.15,0.26,0.16,0.26,0.34,0.38,0.81,0.80,0.32,0.48,0.17,0.24,0.36,0.72,0.81,0.81,0.68,0.23,0.17,0.16,0.54,0.80,0.76,0.77,0.81,0.50,0.16,0.17,0.65,0.82,0.76,0.76,0.82,0.69,0.17,0.20,0.72,0.77,0.42,0.42,0.78,0.71,0.17,0.16,0.56,0.81,0.31,0.32,0.81,0.55,0.16,0.17,0.18,0.27,0.29,0.28,0.27,0.17,0.17
bee,"bee in hive",0.06,0.12,0.28,0.12,0.06,0.05,0.06,0.06,0.05,0.50,0.76,0.49,0.04,0.54,0.36,0.16,0.20,0.70,0.68,0.69,0.29,0.74,0.46,0.14,0.45,0.70,0.65,0.67,0.55,0.51,0.54,0.07,0.55,0.69,0.74,0.72,0.53,0.04,0.05,0.05,0.68,0.72,0.45,0.76,0.67,0.07,0.06,0.05,0.53,0.71,0.25,0.64,0.52,0.06,0.05,0.05,0.07,0.13,0.29,0.14,0.06,0.05,0.05,0.05
bee,"enclosure of mirrored bees",0.38,0.41,0.40,0.40,0.40,0.40,0.41,0.28,0.34,0.07,0.03,0.03,0.04,0.03,0.03,0.34,0.33,0.46,0.42,0.08,0.05,0.48,0.39,0.31,0.33,0.46,0.75,0.24,0.48,0.74,0.22,0.35,0.34,0.92,0.83,0.06,0.23,0.63,0.83,0.22,0.33,0.14,0.18,0.04,0.06,0.11,0.14,0.33,0.34,0.03,0.04,0.03,0.03,0.03,0.03,0.34,0.27,0.34,0.34,0.33,0.33,0.33,0.34,0.33
bee,"bee inside hive",0.07,0.12,0.38,0.55,0.55,0.39,0.10,0.07,0.07,0.38,0.65,0.63,0.64,0.67,0.43,0.07,0.17,0.55,0.64,0.17,0.17,0.69,0.74,0.18,0.29,0.64,0.43,0.41,0.32,0.52,0.61,0.36,0.33,0.73,0.47,0.61,0.65,0.56,0.69,0.25,0.22,0.59,0.31,0.29,0.30,0.34,0.60,0.14,0.10,0.45,0.55,0.18,0.31,0.53,0.32,0.07,0.08,0.11,0.30,0.52,0.51,0.22,0.08,0.07
bee,"beekeeper with veil and hive",0.06,0.06,0.13,0.26,0.18,0.07,0.08,0.07,0.20,0.26,0.72,0.61,0.68,0.21,0.28,0.05,0.07,0.29,0.47,0.13,0.35,0.37,0.27,0.20,0.06,0.56,0.76,0.33,0.76,0.72,0.13,0.06,0.04,0.68,0.97,0.96,0.79,0.80,0.73,0.15,0.08,0.36,0.86,0.93,0.42,0.80,0.80,0.21,0.20,0.32,0.99,0.38,0.39,0.76,0.77,0.25,0.35,0.32,0.44,0.25,0.26,0.45,0.42,0.35
bee,"bee hive section",0.09,0.09,0.07,0.06,0.28,0.28,0.26,0.24,0.31,0.45,0.09,0.25,0.58,0.72,0.28,0.25,0.11,0.17,0.14,0.63,0.63,0.45,0.65,0.23,0.07,0.20,0.31,0.58,0.49,0.32,0.76,0.37,0.07,0.56,0.36,0.71,0.49,0.52,0.43,0.37,0.07,0.07,0.06,0.69,0.57,0.46,0.56,0.33,0.07,0.07,0.07,0.41,0.71,0.35,0.66,0.37,0.07,0.07,0.08,0.08,0.49,0.56,0.31,0.24
bee,"honey bee worker",0.07,0.07,0.07,0.07,0.16,0.15,0.08,0.07,0.07,0.05,0.06,0.06,0.74,0.76,0.26,0.07,0.08,0.34,0.33,0.27,0.98,0.98,0.65,0.06,0.07,0.34,0.67,0.52,0.51,0.40,0.07,0.07,0.04,0.58,0.56,0.63,0.55,0.50,0.15,0.07,0.06,0.30,0.41,0.47,0.56,0.63,0.40,0.07,0.07,0.07,0.08,0.20,0.29,0.44,0.51,0.06,0.07,0.07,0.07,0.07,0.07,0.12,0.12,0.07
bee,"wasp on nest",0.07,0.06,0.07,0.13,0.15,0.15,0.22,0.18,0.12,0.23,0.22,0.22,0.17,0.20,0.16,0.06,0.11,0.10,0.50,0.51,0.06,0.07,0.08,0.06,0.06,0.40,0.65,0.65,0.26,0.20,0.33,0.27,0.05,0.50,0.64,0.64,0.61,0.55,0.83,0.08,0.06,0.38,0.82,0.73,0.45,0.27,0.80,0.25,0.07,0.08,0.71,0.61,0.07,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.07,0.07
bee,"wasp on nest",0.08,0.07,0.08,0.23,0.56,0.56,0.56,0.09,0.14,0.36,0.44,0.45,0.70,0.68,0.56,0.06,0.08,0.79,0.51,0.15,0.49,0.52,0.06,0.07,0.07,0.33,0.42,0.28,0.44,0.65,0.24,0.07,0.06,0.29,0.38,0.35,0.38,0.32,0.30,0.08,0.07,0.20,0.36,0.39,0.35,0.38,0.09,0.07,0.06,0.08,0.36,0.38,0.39,0.29,0.06,0.07,0.07,0.07,0.09,0.27,0.20,0.07,0.07,0.07
